,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_learning_rate,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
111,0.001014876365661621,0.0024249771049164003,0.0,0.0,0.01,constant,123123,"{'alpha': 0.01, 'learning_rate': 'constant', 'random_state': 123123}",0.5091281838713733,0.31618235822830365,0.748766091738623,-1.0095096243810837,-0.1997573525209253,-0.3780345069485944,0.7456200489241543,0.5632371713695108,-0.5676436845293473,-1.0730151091447615,-0.03450264233927471,0.6675790622673575,7
112,0.002040195465087891,0.0031336678536661687,0.0,0.0,0.01,constant,777,"{'alpha': 0.01, 'learning_rate': 'constant', 'random_state': 777}",0.5425354894891237,0.21059839056777607,0.7229778762438407,-0.8873805235039607,0.10935963179502661,-0.18019326500204813,0.41493779256149255,0.5305099794303931,-0.5504701758483568,-1.2603313679358714,-0.034745617220258415,0.634528248908439,8
113,0.002033853530883789,0.003132517151138652,0.0,0.0,0.01,constant,69,"{'alpha': 0.01, 'learning_rate': 'constant', 'random_state': 69}",0.45304028826538345,0.2250992989131413,0.7337089125444055,-0.9856764285105093,-0.19892141145904718,-0.34696680296621185,0.6630862990145318,0.45886691079849873,-0.5416372384227293,-0.9581151733953626,-0.04975153452178993,0.6134006350631693,21
114,0.004808878898620606,0.003846390679650262,0.00010478496551513672,0.00031435489654541016,0.01,optimal,12345,"{'alpha': 0.01, 'learning_rate': 'optimal', 'random_state': 12345}",-6.887063213991668e+23,-1.1987994099019777e+23,-2.1085523553574358e+23,-8.664699543366965e+23,-3.6772866518204976e+24,-5.426943891259487e+24,-6.154394742175511e+23,-4.468886678024982e+23,-1.927164892280193e+21,-7.35178349234394e+23,-1.2789575651488513e+24,1.7035174328580302e+24,63
115,0.0036603927612304686,0.004123109885694654,0.0,0.0,0.01,optimal,123,"{'alpha': 0.01, 'learning_rate': 'optimal', 'random_state': 123}",-4.621369080730653e+23,-4.104120518474361e+23,-3.658264342805931e+24,-6.266348001923735e+24,-2.684364269253233e+20,-9.483322445228042e+23,-1.475340289419939e+23,-4.450708170634315e+23,-1.7868192648245987e+24,-6.865989278682937e+24,-2.0991175375112858e+24,2.4581049569614375e+24,65
116,0.0032935380935668946,0.004199754328189363,0.0,0.0,0.01,optimal,666,"{'alpha': 0.01, 'learning_rate': 'optimal', 'random_state': 666}",-2.9953398329934375e+23,-1.711098597380399e+24,-6.571079565639168e+22,-7.698468583808945e+22,-1.8786469335333223e+24,-2.5297124276441597e+23,-2.1782970170060812e+23,-1.0753071988723503e+23,-2.3307000195833532e+23,-6.624065358373587e+23,-5.505783197855498e+23,6.435747147910809e+23,61
117,0.003076028823852539,0.0034096025547995096,0.0,0.0,0.01,optimal,123123,"{'alpha': 0.01, 'learning_rate': 'optimal', 'random_state': 123123}",-2.8180815619267485e+23,-4.003740753404336e+23,-3.0936801559183863e+21,-1.112857495657237e+23,-1.2743837550332777e+23,-5.683113193738321e+23,-8.168145659987117e+22,-1.1935248659043036e+20,-5.0933443782702094e+22,-3.9156194003382854e+24,-5.540665009339359e+23,1.1341416192575224e+24,62
118,0.003889322280883789,0.0039942473188606924,0.00021388530731201172,0.0006416559219360351,0.01,optimal,777,"{'alpha': 0.01, 'learning_rate': 'optimal', 'random_state': 777}",-7.721518722398594e+21,-4.927781981731182e+23,-4.241531437509789e+22,-1.6010557812323752e+22,-4.711150420853586e+24,-1.1469279723398126e+25,-2.165152526821646e+23,-3.305662780117993e+24,-6.994967012563313e+19,-1.3488864435019264e+24,-2.1610490159306866e+24,3.4652086871221657e+24,66
119,0.004310059547424317,0.004117039172530049,0.0,0.0,0.01,optimal,69,"{'alpha': 0.01, 'learning_rate': 'optimal', 'random_state': 69}",-1.0205277168133575e+23,-1.527132364253285e+24,-8.146459080588055e+23,-1.186627969388535e+22,-7.616271892031283e+24,-4.6640341491190305e+23,-4.4048618017015455e+23,-1.737917091320743e+23,-4.3932773736877955e+20,-5.159427994389318e+24,-1.6312517842059413e+24,2.479225114621219e+24,64
120,0.0020505905151367186,0.0031467134751802157,0.0,0.0,0.01,invscaling,12345,"{'alpha': 0.01, 'learning_rate': 'invscaling', 'random_state': 12345}",0.4957722440672674,0.2525398691511265,0.663525057908944,-0.8296581162953249,-0.10366680607957957,-0.3772070223032127,0.6928815490209981,0.4747059536712699,-0.6318086497936353,-1.3999474802930498,-0.07628634009451965,0.6780461772159156,42
