param_C,param_coef0,param_degree,param_gamma,param_kernel,param_tol,mean_test_score,std_test_score,rank_test_score
0.0001,10.0,8,auto,poly,0.1,0.3916134190847903,0.3595839785274413,598.2
0.0001,10.0,8,auto,rbf,1e-05,-0.056191374403777604,0.06363245230966767,2245.2
0.0001,10.0,8,auto,rbf,0.0001,-0.05619131814451066,0.06363248417132253,2242.8
0.0001,10.0,8,auto,rbf,0.001,-0.05619131814451066,0.06363248417132253,2242.8
0.0001,10.0,8,auto,rbf,0.01,-0.056192511691950796,0.06363676866695958,2289.2
0.0001,10.0,8,auto,rbf,0.1,-0.054581528121526876,0.06084509091562744,2251.8
0.0001,10.0,8,auto,sigmoid,1e-05,-0.05626922815776618,0.06364567691235128,2444.0
0.0001,10.0,8,auto,sigmoid,0.0001,-0.05626922815776618,0.06364567691235128,2444.0
0.0001,10.0,8,auto,sigmoid,0.001,-0.05626922815776616,0.06364567691235128,2444.4
0.0001,10.0,8,auto,sigmoid,0.01,-0.05627442684705845,0.06364695419553004,2420.0
0.0001,10.0,8,auto,sigmoid,0.1,-0.051496467167159665,0.058165344608456536,2138.6
0.0001,10.0,8,scale,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,10.0,8,scale,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,10.0,8,scale,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,10.0,8,scale,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,10.0,8,scale,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,10.0,8,scale,poly,1e-05,0.3835024771939156,0.36178502307573285,794.0
0.0001,10.0,8,scale,poly,0.0001,0.38349893410439784,0.3617877755916564,803.8
0.0001,10.0,8,scale,poly,0.001,0.3834972861527707,0.36177548288176276,802.8
0.0001,10.0,8,scale,poly,0.01,0.3834632096977722,0.3620681489749191,786.2
0.0001,10.0,8,scale,poly,0.1,0.3791652006849079,0.367127701746661,854.6
0.0001,10.0,8,scale,rbf,1e-05,-0.05601493696469034,0.0636073490765786,2206.4
0.0001,10.0,8,scale,rbf,0.0001,-0.05601489600377094,0.06360738398888774,2205.2
0.0001,10.0,8,scale,rbf,0.001,-0.05601482041144155,0.06360741660940991,2204.0
0.0001,10.0,8,scale,rbf,0.01,-0.056014512212323064,0.06361189154030387,2208.8
0.0001,10.0,8,scale,rbf,0.1,-0.05392291894603004,0.06042079680507534,2161.8
0.0001,10.0,8,scale,sigmoid,1e-05,-0.056269228157764084,0.06364567691248815,2443.2
0.0001,10.0,8,scale,sigmoid,0.0001,-0.056269228157764084,0.06364567691248815,2443.2
0.0001,10.0,8,scale,sigmoid,0.001,-0.056269228157764015,0.06364567691248815,2443.6
0.0001,10.0,8,scale,sigmoid,0.01,-0.0562744268470611,0.06364695419567194,2420.8
0.0001,10.0,8,scale,sigmoid,0.1,-0.051496467167132645,0.05816534460854554,2138.2
0.001,0.01,3,auto,linear,1e-05,0.03377769299631426,0.11179680158449623,1627.0
0.001,0.01,3,auto,linear,0.0001,0.03377583791288408,0.1117935623177273,1629.4
0.001,0.01,3,auto,linear,0.001,0.03381076587998842,0.11180624953160764,1631.8
0.001,0.01,3,auto,linear,0.01,0.03328088442843594,0.1119420334302795,1654.2
0.001,0.01,3,auto,linear,0.1,0.031899337099677835,0.11483525581558618,1671.0
